Sizes	Direct	Reverse	Random
256	50.9336	50.8477	50.7773
131328	28.8164	21.7215	46.0164
262400	22.5057	21.5512	60.9285
393472	21.847	21.2046	77.3969
524544	21.8994	21.6301	101.663
786688	22.5465	22.2502	123.04
1048832	23.2065	21.8715	133.61
1573120	23.2417	21.2021	152.671
2097408	23.2941	22.4265	155.561
2621696	23.47	21.5533	186.054
3145984	24.1046	22.1918	208.773
3670272	21.985	21.8894	268.249
4194560	21.725	21.854	390.764
4718848	24.8389	21.9864	491.919
5243136	22.4394	22.2003	974.143
5767424	67.2425	67.8016	1350.63
6291712	55.6916	51.262	1486.56
6816000	66.6669	64.4309	1324.92
7340288	67.1291	65.4582	1178.85
7864576	28.3945	29.0346	831.075
8388864	22.645	22.116	863.042
8913152	22.7561	21.9791	1118.06
9437440	68.5346	67.8032	1543.34
9961728	69.5165	68.8986	896.739
10486016	22.1361	22.2948	917.805
11010304	22.3969	22.0935	930.39
11534592	22.4213	21.9389	941.611
12058880	22.2049	21.8862	976.864
12583168	22.3791	22.3937	988.266
13107456	22.2967	22.041	999.526
13631744	22.1417	21.9475	998.934
14156032	22.3898	22.0278	1011.15
14680320	22.4966	21.7591	1029.28
15204608	22.46	21.9129	1042.45
15728896	22.6295	22.0807	1043.43
16253184	22.2827	21.9738	1061.64
16777472	22.2565	22.4609	1079.25
17301760	22.4949	22.2153	1068.35
17826048	22.3035	21.9383	1095.77
18350336	63.8311	60.8484	1801.95
18874624	67.0293	59.9532	1121.98
19398912	22.3478	22.0576	1056.22
19923200	21.8674	21.633	1122.71
20447488	21.8566	21.7598	1129.85
20971776	21.771	21.846	1135.5
21496064	22.0042	21.8539	1136.59
22020352	22.8982	22.2977	1131.11
22544640	32.2078	26.9623	1256.07
23068928	22.3297	21.9674	1067.9
23593216	22.5481	22.069	1173.66
24117504	20.2025	19.1671	1275.21
24641792	32.4676	31.3766	1289.89
25166080	32.6578	31.26	1839.74
25690368	65.059	61.6194	2063.4
26214656	63.1697	63.8866	2142.62
26738944	65.2596	66.0514	2090.32
27263232	69.1252	63.985	2087.81
27787520	65.3702	67.217	2045.56
28311808	68.9407	65.9492	2079.83
28836096	68.4352	59.2334	2220.56
29360384	57.6054	69.0504	2015.69
29884672	65.3603	66.0925	2030.23
30408960	65.4689	67.6241	2117.58
30933248	65.5608	65.2652	1469.57
31457536	66.7331	65.4955	1332.11
31981824	23.656	22.8412	1310.15
32506112	23.8265	22.4987	1293.11
33030400	23.2203	22.6758	1269.41
